,分词,计数
7304,垃圾,6
7305,合适,6
7316,太好了,6
7400,机灵,6
7512,睡着,6
7575,愿望,6
7659,一生,6
7809,记得,6
7825,醉拳,6
7921,泪流满面,6
7924,新意,6
7941,平凡,6
8155,聚焦,6
8165,走心,6
8233,辉煌,6
8258,厌恶,6
8321,刷,6
8360,早就,6
8422,一流,6
8426,打着,6
8437,太高,6
8492,反,6
8508,大型,6
8645,友好,6
8651,意识,6
8662,婆婆,6
8735,拜神,6
8778,一如既往,6
8792,混乱,6
8930,黑色幽默,6
9018,一年,6
9041,过分,6
9044,意淫,6
9107,摔,6
9164,安排,6
9196,抓住,6
9254,B,6
9319,事件,6
9323,惊吓,6
9397,加油,6
9440,人生路不熟,6
9547,少女,6
9551,换成,6
9583,大师,6
9590,相处,6
9745,老谋子,6
9762,智商,6
9770,妓女,6
9783,上海,6
9822,映后,6
9885,小龙女,6
9903,堆砌,6
9911,大胆,6
9922,毛病,6
9932,灵气,6
9938,超,6
9967,高潮,6
9978,乐,6
10154,利用,6
10238,映射,6
10255,三个,6
10329,可圈可点,6
10381,爱人,6
10418,重点,6
10420,半个,6
10434,贯穿,6
10468,冲击,6
10607,出场,6
68,沦为,5
93,配合,5
115,幕后,5
133,起承转合,5
272,平平,5
279,清纯,5
290,担当,5
308,主,5
329,生理,5
336,信念,5
361,台湾,5
368,好听,5
370,琢磨,5
390,起到,5
425,不尬,5
494,张,5
618,萍水相逢,5
620,吴京,5
683,瑕疵,5
690,变,5
698,没能,5
764,好莱坞,5
798,世纪,5
807,律师,5
918,关注,5
922,二十年,5
989,传递,5
1017,陈旧,5
1046,面前,5
1080,横店,5
1089,莫名,5
1096,差异,5
1126,救命,5
1249,期间,5
1310,夏洛特,5
1335,狗血,5
1365,刻画,5
1403,寻找,5
1407,舆论,5
1541,自传,5
1542,大可不必,5
1576,误会,5
1606,技法,5
1622,两种,5
1823,首歌,5
1881,沙文主义,5
1920,作者,5
2063,诠释,5
2121,说出,5
2157,方法,5
2167,全篇,5
2173,戏谑,5
2206,鸡汤,5
2263,其他人,5
2277,玩命,5
2292,尾,5
2357,低分,5
2361,足,5
2364,想想,5
2367,史,5
2388,配,5
2424,剧里,5
2458,糟粕,5
2463,侠,5
