,分词,计数
19583,幼稚,38
19862,半小时,38
20690,瞎,38
20978,丢,38
22188,选角,38
22824,拖沓,38
23789,干嘛,38
24332,正义,38
25912,走向,38
26046,圭,38
26091,紧张,38
26793,团队,38
27395,怀疑,38
28482,任敏,38
1820,失败,37
2152,交换,37
3307,往事,37
3398,精致,37
3831,看得出,37
4022,间,37
4998,袋鼠,37
5433,字幕,37
6357,中式,37
6883,刚,37
6916,稍微,37
8199,之王,37
8235,案件,37
8473,爱情故事,37
9177,男生,37
9810,生气,37
9824,进,37
11470,动人,37
11768,高级,37
14052,重点,37
14383,3D,37
15229,创意,37
17913,十足,37
17941,还好,37
18568,幸福,37
18704,创作者,37
19447,年轻人,37
22283,心疼,37
22380,韦家辉,37
23157,可怕,37
24199,家,37
24273,惊艳,37
24533,珍惜,37
24638,始终,37
25251,字,37
26894,律师,37
26971,年纪,37
27312,硬伤,37
1326,长大,36
3545,粉,36
3608,内地,36
4839,变化,36
5600,夏梦,36
10614,罗曼蒂克,36
12577,清晰,36
13467,服化,36
14015,价值观,36
14050,先,36
14622,拍电影,36
15278,参宿,36
15708,疯批,36
15946,凶手,36
19523,科幻片,36
19767,谢谢,36
21738,刻板,36
22217,国产片,36
23169,之作,36
23250,模式,36
24497,睡着,36
24789,事业,36
25232,话题,36
25392,独立,36
1646,油腻,35
3141,想法,35
6274,情人节,35
6588,全,35
8242,行业,35
9290,只会,35
9766,触动,35
10046,大片,35
10078,CP,35
11210,关键,35
12947,明星,35
14281,纯,35
14651,一位,35
17150,怕,35
18624,形式,35
18657,一步,35
20437,月,35
20587,营销,35
20688,文戏,35
20806,张小斐,35
21549,国漫,35
22252,稀碎,35
22796,黑暗,35
23235,啊啊啊,35
23868,梦想,35
26417,刘浩存,35
27238,勇气,35
455,却是,34
1865,眼睛,34
2500,时期,34
4033,接地,34
4214,模糊,34
6843,中邪,34
10808,割裂,34
10855,转折,34
12278,错过,34
16339,毒液,34
16407,粗糙,34
16975,抄,34
17017,造型,34
17664,融入,34
17729,坐,34
18407,烟火,34
18425,回来,34
19214,戏剧,34
19898,共情,34
20162,深度,34
21662,泪,34
21786,华语,34
23713,用力,34
23931,缺乏,34
23965,戳,34
25305,2023,34
79,隐喻,33
448,功夫,33
705,牛,33
1107,悬浮,33
3546,武侠片,33
6965,海报,33
8976,笑料,33
9020,@,33
9622,施柏宇,33
11783,动作片,33
13425,眼泪,33
15874,控制,33
17143,身体,33
20294,口碑,33
23490,去年,33
23876,付出,33
25998,一年,33
26242,灵魂,33
26495,张艺谋,33
27550,吐,33
178,典型,32
2463,吹,32
3038,贡献,32
3634,画风,32
7073,反,32
8880,穿,32
9111,本质,32
10328,文本,32
10951,挺不错,32
11934,客串,32
13463,太过,32
15029,侮辱,32
17429,几年,32
17899,新意,32
19927,段,32
20204,过瘾,32
21919,跳舞,32
24171,困境,32
24396,面对,32
24692,鬼片,32
25334,出演,32
25956,值得一看,32
26245,杀手,32
26506,男主角,32
26575,杜鹃,32
27369,幻想,32
27518,解决,32
28518,原作,32
485,那句,31
588,赤兔,31
1887,温暖,31
2978,风,31
3026,敢,31
3331,疯狂,31
3854,票价,31
9031,解释,31
9299,一股,31
9567,前作,31
9791,便,31
9970,韩露,31
10755,世界观,31
11794,接,31
12419,对话,31
14190,看点,31
14729,骗,31
15290,融合,31
16139,2022,31
17094,一张,31
17652,痛苦,31
19085,味儿,31
19464,两部,31
20098,最佳,31
20972,卖,31
20983,乱七八糟,31
21125,合适,31
21994,随便,31
22957,小姐,31
23616,原本,31
27408,父母,31
207,花钱,30
1020,一出,30
1029,爸爸,30
1497,密室,30
2185,脑子,30
2238,易小星,30
3374,长空,30
3889,陈旧,30
5140,一点点,30
5730,大部分,30
6418,无脑,30
6462,浮夸,30
7614,变,30
7756,看似,30
9046,PS,30
9254,好评,30
10336,保护,30
10379,一幕,30
11217,诈骗,30
12604,极致,30
13445,魔幻,30
13654,观念,30
14186,旁边,30
15061,刘净,30
16164,出色,30
17013,不知,30
17180,类,30
17705,有点像,30
18421,设置,30
19017,新鲜,30
19173,性格,30
19363,黑客,30
19562,密集,30
23261,性,30
24188,好帅,30
25565,拥有,30
26013,眼神,30
27099,B,30
27400,审查,30
1861,女演员,29
3179,灾难,29
4777,态度,29
4870,大年初一,29
5139,机会,29
5256,翻拍,29
5869,安排,29
6042,利用,29
6431,一套,29
6513,對,29
6558,降智,29
7610,几场,29
7896,一看,29
9217,後,29
9670,反复,29
10346,时光,29
12766,还原,29
13789,海,29
14255,情,29
15768,从头到尾,29
16367,国产电影,29
16805,哈哈哈哈,29
18581,稳定,29
18619,谈恋爱,29
18748,了不起,29
18992,度,29
19106,回归,29
20363,探索,29
22825,选,29
22984,一如既往,29
23402,天,29
24125,吐槽,29
24625,電影,29
24855,后期,29
24966,搭,29
25852,资本,29
26733,雨中曲,29
27054,真心,29
27087,回到,29
27261,史,29
27696,跟着,29
28249,国师,29
855,大可不必,28
890,送,28
1476,预告片,28
6870,头,28
8629,拧,28
8641,烟花,28
9803,舞台,28
