,分词,计数
2582,感人,7
2642,妥协,7
2674,20,7
2703,3.5,7
2719,片段,7
2809,稚嫩,7
2876,立场,7
2880,紧凑,7
2896,刑警,7
2932,新颖,7
3017,分裂,7
3059,爱情故事,7
3105,一大,7
3313,剩,7
3365,两人,7
3598,很难,7
3621,华语,7
3737,领导,7
3881,特写,7
3920,傻,7
3921,时长,7
4061,100,7
4102,恰到好处,7
4135,创意,7
4149,怒火,7
4242,理想,7
4244,找到,7
4245,继承,7
4269,姑娘,7
4422,恶魔,7
4434,头,7
4458,面前,7
4490,睡着,7
4537,6.5,7
4679,一座,7
4716,风声,7
4828,换个,7
4871,假,7
4950,输出,7
4954,二十年,7
5034,可言,7
5051,始终,7
5067,重,7
5100,剧,7
5189,误导,7
5268,荒唐,7
5395,恋爱,7
5494,美感,7
5498,秀,7
5603,贴,7
5613,检察,7
5644,利用,7
5700,打分,7
5760,保障,7
5812,蔡卓妍,7
5899,共产党,7
5948,一惊,7
6044,针锋相对,7
6218,短,7
6397,标签,7
6449,涉及,7
6470,王传君,7
6517,插入,7
6525,预告片,7
6527,之外,7
6587,豆瓣,7
6619,大部分,7
6675,狐狸,7
6708,开口,7
6845,营销,7
6852,形式,7
6868,抓住,7
6880,回归,7
6889,喝,7
6966,不用说,7
7068,气,7
7092,拍成,7
7093,眼神,7
7133,体验,7
7310,看不到,7
7312,一遍,7
7336,毛病,7
7421,几场,7
7521,安排,7
7523,资本,7
7563,半小时,7
7699,成精,7
7703,伟仔,7
7717,90,7
7719,悬浮,7
7734,2.5,7
7744,不该,7
7798,孕妇,7
7808,系列,7
7932,政治,7
7980,吐,7
8048,双线,7
8060,贪婪,7
8088,其他人,7
8189,因果,7
8231,想到,7
8243,早,7
8469,揭示,7
8531,一群,7
8572,当年,7
8616,陈,7
8659,突兀,7
8676,哈哈哈,7
8686,配,7
8760,乍,7
8769,有个,7
8805,暴力,7
9107,神鬼,7
9146,恐怖感,7
9189,宇宙,7
9277,项目,7
9348,纸妻,7
9403,救赎,7
120,公诉,6
148,持续,6
215,主,6
233,炸裂,6
265,标准,6
342,说实话,6
362,平淡,6
446,缺点,6
461,装神弄鬼,6
616,收工,6
625,梗,6
704,猜出来,6
740,民警,6
756,捏,6
759,受,6
775,一分,6
864,爱看,6
898,不知,6
900,压抑,6
909,四个,6
910,從,6
913,脑,6
919,绑架,6
935,抛开,6
941,无力,6
946,情况,6
1008,老戏骨,6
1029,队长,6
1098,寄生虫,6
1191,摄影师,6
1193,有趣,6
1259,滤镜,6
1297,眼睛,6
1324,花,6
1411,谜底,6
1439,科学,6
1475,锅,6
1484,想想,6
1546,篇幅,6
1570,感到,6
1574,神秘,6
1611,两段,6
1614,成本,6
1637,残忍,6
1684,迷雾,6
1838,天才,6
1846,远,6
1849,我要,6
1985,挺不错,6
2053,改为,6
2108,脑子,6
2230,概念,6
2315,玩意,6
2325,李俊,6
2407,忽悠,6
2466,周,6
2535,只想,6
2542,猎人,6
2552,碎片,6
2670,一张,6
2695,疯魔,6
2798,图鉴,6
2890,之上,6
2951,惊艳,6
2952,长镜头,6
2963,精巧,6
3011,双女主,6
3014,探索,6
3018,气息,6
3019,妇女节,6
3031,有限,6
3070,舞蹈,6
3088,挑,6
3123,正确,6
3219,棒,6
3227,说话,6
3262,皆,6
3297,wyb,6
3448,老板,6
3512,读,6
3573,一步步,6
3633,负数,6
3639,剧情片,6
3703,新鲜,6
3757,专业,6
3762,天然,6
3825,经理,6
4063,第二幕,6
4100,几分,6
4155,探案,6
4182,生动,6
4217,一体,6
4276,丑,6
4290,生死,6
4386,一言难尽,6
4578,目的,6
4585,俩,6
4592,色戒,6
4659,吐槽,6
4735,模板,6
4849,村民,6
4890,成功,6
5068,路线,6
5121,后悔,6
5129,克制,6
5293,老百姓,6
5317,骂,6
5342,好多,6
5428,严,6
5487,好好看,6
5570,暴风雪,6
5592,噱头,6
5609,看得出,6
5623,无语,6
5629,伦理,6
5663,救救,6
5682,圭吾式,6
5704,虐杀,6
5711,集合,6
5763,赞,6
5861,弃,6
5866,过猛,6
5879,倍速,6
5880,邪,6
5934,群像,6
5996,脸上,6
6058,流畅,6
6119,病,6
6156,一人,6
6203,退钱,6
6286,很快,6
6306,有意思,6
6402,百合,6
6423,弱智,6
6434,进,6
6648,恶心,6
6714,平铺直叙,6
6753,日式,6
6760,记得,6
6803,直白,6
6832,深情,6
6879,时刻,6
6895,多余,6
6903,有点儿,6
6947,遗憾,6
7046,解谜,6
7062,猎罪,6
7111,一层,6
7113,酣畅淋漓,6
7123,前提,6
7134,高晋,6
