,分词,计数
8317,选,6
8338,原创,6
8423,手,6
8437,女人,6
8440,评论,6
8458,干,6
8513,作,6
8831,好久没,6
8856,受不了,6
8937,铺垫,6
8945,侠,6
9225,从头到尾,6
9269,陆战队,6
9308,深,6
9331,漫,6
9355,剩,6
9437,名字,6
9442,有个,6
9454,阶段,6
9499,随便,6
9610,挣扎,6
9706,作画,6
9777,一家,6
9860,瑕疵,6
9863,骑士,6
9864,环,6
9953,甲片,6
9970,多余,6
9995,心情,6
10004,框架,6
10056,流水线,6
10164,常见,6
10174,舔,6
10285,放风筝,6
10308,剧场版,6
10395,一对,6
10464,抓,6
10482,南京,6
33,成年,5
48,星际,5
174,一塌糊涂,5
275,不愧,5
284,鼠,5
383,就让,5
390,资本,5
420,动作片,5
464,态度,5
574,拍得,5
582,第二,5
732,气死我了,5
784,ip,5
840,墙,5
850,成品,5
853,女朋友,5
854,平庸,5
873,花里胡哨,5
975,成立,5
1009,低级,5
1037,法,5
1083,审美疲劳,5
1105,太好了,5
1127,倍速,5
1128,下次,5
1221,做作,5
1264,为数不多,5
1282,星河,5
1317,锅,5
1407,极致,5
1408,瞬间,5
1424,一路,5
1434,杀,5
1464,杨,5
1488,刑天,5
1590,太平洋,5
1643,场,5
1655,那一刻,5
1659,=,5
1716,大陆,5
1726,味儿,5
1740,估计,5
1782,续集,5
1788,无限,5
1818,廉价,5
1828,复古,5
1896,之外,5
1987,趣味,5
1998,删减,5
2020,爱好者,5
2048,纯,5
2089,正义,5
2171,BGM,5
2244,真诚,5
2260,间,5
2262,和谐,5
2291,周深,5
2348,暴力,5
2352,苹果,5
2367,太阳,5
2382,校长,5
2393,一件,5
2410,关联,5
2421,生化危机,5
2457,冲突,5
2552,手电筒,5
2557,坑,5
2603,渴望,5
2606,圈钱,5
2665,电影工业,5
2749,人会,5
2764,大海,5
2799,毛发,5
2821,末世,5
2831,电影版,5
2841,一部分,5
2942,一眼,5
2985,高光,5
2991,小学生,5
2994,幻梦,5
2995,一锅,5
3048,邪恶,5
3063,打分,5
3106,隔,5
3129,主题曲,5
3151,世纪,5
3164,菜,5
3178,先,5
3224,我能,5
3247,说真的,5
3256,初恋,5
3275,满江红,5
3282,严肃,5
3384,看得出,5
3391,答辩,5
3430,专业,5
3431,伴,5
3433,林,5
3435,群众,5
3452,滤镜,5
3509,造型,5
3523,生理,5
3543,碾压,5
3608,关键,5
3613,痕迹,5
3617,中二,5
3619,节制,5
3634,装,5
3781,追车,5
3828,赚钱,5
3944,走过,5
4038,一条,5
4098,区,5
4167,魔,5
4173,捧,5
4183,迷,5
4218,宵禁,5
4251,追逐,5
4272,参考,5
4282,一顿,5
4283,之上,5
4321,折磨,5
4329,面对,5
4342,EVA,5
4366,重返,5
4378,漫画,5
4400,无数,5
4401,科学,5
4414,反思,5
4464,外壳,5
4475,宣发,5
4528,力气,5
4543,或者说,5
4696,铁甲,5
4724,功力,5
4739,见到,5
4741,阳光,5
4743,他演,5
4751,掩盖,5
4759,时期,5
4829,刺激,5
4872,旗号,5
4936,网络,5
4984,比不上,5
4988,长安,5
5004,概括,5
5020,灰暗,5
5033,翅膀,5
5039,看不出来,5
5097,刚刚,5
5112,乱七八糟,5
5191,面前,5
5195,边缘,5
5313,撑,5
5344,层次,5
5371,第一季,5
5421,之处,5
5460,一家人,5
5475,大学,5
5517,建立,5
5559,跨,5
5564,近几年,5
5578,新加坡,5
5640,华丽,5
5649,油,5
5680,棒,5
5711,良心,5
5723,善良,5
5751,沈马,5
5810,几部,5
5825,狠狠,5
5877,记得,5
5933,李升,5
5958,尾,5
6007,大众,5
6063,描写,5
6079,矛盾,5
6091,赞,5
6147,吓人,5
6176,久,5
6236,含腾量,5
6260,头,5
6300,末日,5
6318,90,5
6329,浅薄,5
6452,崛起,5
6471,潦草,5
6627,资源,5
6630,丝毫,5
6636,联想,5
6638,特意,5
6744,cult,5
6761,不像,5
6797,密集,5
6800,怕,5
6804,悲伤,5
6877,人形,5
6902,难以,5
6933,宏大,5
6941,不该,5
6957,合理性,5
7026,牛,5
7072,型,5
7081,无奈,5
7083,当做,5
7098,燃起,5
7122,时空,5
7135,路人甲,5
7136,试图,5
7139,全人类,5
7145,复刻,5
7153,之眼,5
7155,战队,5
7176,昨天,5
7188,伤害,5
7337,船,5
7353,国际,5
7409,缺失,5
7577,感染力,5
7628,刚子,5
7647,控制,5
7651,八月,5
7757,距离,5
7760,路线,5
7876,前期,5
7957,薄弱,5
7963,两次,5
7994,小镇,5
8060,想法,5
8090,占,5
8190,外星人,5
8269,金刚,5
8279,性别,5
8297,丁嘉丽,5
8310,无比,5
8323,苏鲁,5
8402,城堡,5
8426,看不到,5
8473,从来不,5
8506,抖,5
8514,藏,5
8579,马蓝,5
8601,来个,5
8613,可圈可点,5
8640,充斥,5
8651,泡沫,5
