,分词,计数
848,黄庆勋,5
899,票价,5
989,对话,5
1040,尺度,5
1051,最佳,5
1149,一众,5
1156,该片,5
1205,可爱,5
1240,伤,5
1286,两,5
1410,别拍,5
1440,冲突,5
1462,起落,5
1486,变迁,5
1528,这块,5
1549,科幻,5
1707,肉,5
1732,生化,5
1772,追杀,5
1856,邓放,5
1895,追龙,5
1973,其他人,5
2128,动容,5
2149,四不像,5
2184,包含,5
2233,看不下去,5
2249,相爱,5
2297,140,5
2315,实力,5
2323,拼接,5
2330,便,5
2457,功力,5
2478,几段,5
2521,蠢,5
2523,建议,5
2540,奉献,5
2815,互动,5
2833,拳拳,5
2867,神奇,5
2911,郑保瑞,5
2981,名字,5
3017,四方,5
3029,打造,5
3134,英文,5
3159,梗,5
3199,把握,5
3205,擅长,5
3272,年轻人,5
3325,张力,5
3359,新鲜,5
3420,楼兰,5
3470,配合,5
3471,营销,5
3475,惊险刺激,5
3478,@,5
3492,割裂,5
3494,稍显,5
3496,记得,5
3501,通病,5
3518,共鸣,5
3592,距离,5
3643,一批,5
3693,切换,5
3720,诞生,5
3726,酷,5
3851,手段,5
3873,一件,5
3880,黑衣人,5
3922,偏,5
3944,家栋,5
3963,常识,5
3981,贯穿,5
4003,吴因,5
4055,回来,5
4127,听风刀,5
4139,加分,5
4149,触动,5
4179,挖掘,5
4200,国语,5
4241,唏嘘,5
4249,片长,5
4262,洪流,5
4265,咋样,5
4413,乐,5
4535,录音,5
4590,岁月,5
4617,延续,5
4684,网络安全,5
4713,很久没,5
4723,拥有,5
4787,磊,5
4788,心情,5
4808,颜值,5
4844,血,5
4908,出演,5
4943,家,5
4987,经历,5
5015,徐浩峰,5
5027,一代,5
5049,坐,5
5066,框架,5
5164,尽力,5
5248,心理,5
5259,后悔,5
5278,硬汉,5
5342,一份,5
5422,故弄玄虚,5
5507,原型,5
5612,裹挟,5
5622,潮汕方言,5
5647,杜鵑,5
5705,形式,5
5738,厚重,5
5761,平铺直叙,5
5764,天邪,5
5903,可圈可点,5
5904,近年,5
6127,出乎意料,5
6187,诠释,5
6196,好片,5
6328,精良,5
6393,西装,5
6416,太好了,5
6467,演绎,5
6478,高光,5
6520,英,5
6620,留下来,5
6636,经不起,5
6673,港式,5
6755,作,5
6853,武士,5
6925,不愧,5
6948,创意,5
7024,差点,5
7026,过分,5
7068,奇怪,5
7158,着实,5
7168,布景,5
7179,武器,5
7202,真不错,5
7259,南,5
7279,主流,5
7420,片尾,5
7442,奇门,5
7473,太棒了,5
7507,想象力,5
7536,一路,5
7537,片名,5
7570,刚刚,5
7573,一出,5
7628,一条,5
7690,大杂烩,5
7723,城城,5
7727,两大,5
7751,大佬,5
7779,卖,5
7790,先,5
7827,无趣,5
7829,上院,5
7841,错,5
7862,气氛,5
7932,毛孔,5
7959,143,5
7993,独白,5
8038,有没有,5
8052,不看,5
8062,忍不住,5
8075,几次,5
8076,一双,5
8095,怀旧,5
8136,家庭,5
8139,告诉,5
8153,双,5
8197,复古,5
8212,妻子,5
8265,男性,5
8303,太差,5
8330,厅,5
8412,细腻,5
8458,一次次,5
8469,以往,5
8639,莫名,5
8682,一招,5
8717,这回,5
8767,找个,5
8786,普通话,5
8843,缺少,5
