,分词,计数
3111,符合,6
3165,证明,6
3167,....,6
3241,仓促,6
3410,出戏,6
3523,丢,6
3574,段落,6
3576,行业,6
3746,刚,6
3765,时刻,6
3823,宋超,6
3860,戏码,6
3867,平平,6
3906,舞,6
4051,景为,6
4094,真心,6
4121,几场,6
4133,还原,6
4155,更是,6
4186,片尾,6
4291,新意,6
4328,后悔,6
4349,不像,6
4463,外,6
4496,配角,6
4537,缘分,6
4542,相通,6
4631,姿态,6
4639,gay,6
4672,烂俗,6
4774,奇妙,6
4818,drama,6
4910,一品,6
4956,泪点,6
4976,嘴,6
4991,新颖,6
5013,可怕,6
5019,扯,6
5185,一位,6
5204,特色,6
5230,开房,6
5238,思考,6
5323,李纯,6
5449,3.5,6
5470,跟着,6
5489,把握,6
5500,拍成电影,6
5543,模糊,6
5573,满意,6
5598,上演,6
5784,经验,6
5802,气息,6
5834,考验,6
5848,派,6
5982,插曲,6
6049,一年,6
6067,眼睛,6
6077,密接,6
6125,围绕,6
6371,走进,6
6397,站,6
6523,吐,6
6593,长相,6
6665,天,6
6684,采访,6
6831,未满,6
6956,书店,6
7009,当年,6
7064,男二,6
7138,盘子,6
7222,坐在,6
7337,优秀,6
7467,着实,6
7517,难受,6
7533,偶像剧,6
7546,捕捉到,6
7638,一眼,6
7677,垃圾,6
7737,本子,6
7893,用力,6
7946,女人,6
8022,出演,6
8065,可圈可点,6
8086,远,6
8094,七夕,6
8123,每一秒,6
8298,何西西,6
8305,部,6
8363,看似,6
8382,一半,6
8397,发挥,6
8451,心动,6
8478,爱看,6
8515,正片,6
8590,类似,6
8748,差距,6
8785,出场,6
8795,夸张,6
8940,青春校园,6
9024,男二女,6
9158,一堆,6
9182,有时候,6
9245,梦,6
9357,放大,6
9358,概念,6
9443,哭戏,6
9489,感触,6
42,讨喜,5
43,进,5
69,真挚,5
98,闺蜜,5
248,父亲,5
274,对不起,5
304,约炮,5
316,孩子,5
340,尊重,5
421,一群,5
443,发出,5
457,正,5
478,反转,5
506,控制,5
529,出身,5
562,克服,5
579,重启,5
615,睡着,5
631,有情人终成眷属,5
655,早已,5
669,篇幅,5
713,方法,5
773,台湾,5
790,爆发,5
827,可怜,5
895,诗,5
926,悲情,5
959,看点,5
1080,吃饭,5
1108,团队,5
1181,最佳,5
1196,战胜,5
1337,豆瓣,5
1373,放下,5
1409,怪,5
1417,求求,5
1440,浪费,5
1469,无感,5
1488,後,5
1499,买票,5
1560,顺便,5
1685,幻想,5
1709,人群,5
1733,佩服,5
1778,对象,5
1809,奇迹,5
1825,支撑,5
1856,向往,5
1865,公司,5
1903,无效,5
1924,艺人,5
1980,段子,5
2019,麻烦,5
2035,身体,5
2078,描写,5
2104,塞,5
2169,突兀,5
2170,心声,5
2183,参与,5
2202,塑造,5
2251,IP,5
2257,酒店,5
2290,笑话,5
2304,流,5
2314,实际上,5
2345,交流,5
2398,剧场版,5
2458,全剧,5
2545,国产片,5
2695,受众,5
2777,手法,5
2846,全,5
2893,宿命,5
2940,好片,5
2989,玩意,5
3024,阿斯巴甜,5
3079,自黑,5
3091,呈现出,5
3105,承认,5
3126,不合理,5
3138,独白,5
3161,深情,5
3184,歌舞片,5
3210,太烂,5
3217,包装,5
3277,模式,5
3288,走出,5
3296,开篇,5
3306,弱化,5
3312,需求,5
3344,公式,5
3381,传统,5
3389,凝视,5
3466,新鲜感,5
3498,金句,5
3555,路过,5
3652,条线,5
3690,雨轩,5
3738,自洽,5
3773,大可不必,5
3854,享受,5
3868,吹,5
3872,答辩,5
3874,能量,5
3935,味儿,5
4057,建议,5
4066,都市女性,5
4088,困难,5
4149,社交,5
4159,花絮,5
4210,代表,5
4235,陈导,5
4307,做成,5
4391,聊,5
4405,花,5
4426,过往,5
4492,一辈子,5
4507,好奇,5
4517,化解,5
4698,脆弱,5
4739,欢乐,5
4759,共振,5
4803,张冀,5
4832,全靠,5
5001,大部分,5
5004,對,5
5015,很能,5
5061,散文,5
5221,信息,5
5233,莫名,5
5252,平衡,5
5328,浮夸,5
5380,一座,5
5467,危机,5
5495,流量,5
5506,奇,5
5539,解释,5
5549,好好看,5
5579,交织,5
5602,二代,5
5694,堆砌,5
5729,乏善可陈,5
5733,剧里,5
5744,热度,5
5816,集,5
5862,无比,5
5877,泪目,5
5930,传递,5
5946,擦,5
5965,哲学,5
5984,月亮,5
5988,当初,5
6010,小镇,5
6018,没能,5
6053,立意,5
6094,成河,5
6153,惊艳,5
6196,贴,5
6198,车祸,5
6213,火车,5
6244,好感,5
6325,文化,5
6444,高光,5
6457,逆流,5
6544,都市生活,5
6641,受,5
6678,撕,5
6688,类,5
6709,化学反应,5
6730,综艺,5
6814,弟弟,5
6888,多一星,5
6962,尤为,5
6982,拍点,5
7008,别扭,5
7012,看不下去,5
7027,梦想,5
7049,生活化,5
7089,技巧,5
7091,学会,5
7110,客串,5
7120,神奇,5
7154,躺,5
7235,消失,5
7243,卡,5
7274,删掉,5
7280,煽,5
7374,职业,5
7407,预告,5
7437,没法,5
7463,出轨,5
7501,差点,5
7555,出乎意料,5
7563,雨,5
7616,弄,5
7625,高级,5
7639,预告片,5
7650,办法,5
7680,只想,5
7687,生,5
7701,几条,5
7744,锅气,5
7829,想想,5
7839,智商,5
7847,跳桥,5
7850,压根,5
7928,渣,5
7931,烟花,5
8014,单薄,5
8036,华丽,5
8072,男演员,5
8099,味,5
8112,总会,5
8188,轻松愉快,5
8205,一分,5
8219,张,5
8280,羡慕,5
8283,几段,5
8337,大段,5
8367,痛,5
8449,高晓楠,5
8467,概率,5
8586,棒,5
8592,家人,5
8622,拍电影,5
8646,位置,5
8653,救命,5
8663,敏感,5
8677,分数,5
8728,资本,5
8859,青涩,5
8954,合适,5
8955,高中生,5
8984,一次次,5
9072,毕业,5
9179,高中,5
9305,找个,5
9373,约会,5
9379,乱飞,5
18,作,4
82,四星,4
83,陌生,4
106,三线,4
110,重要性,4
148,艺术,4
176,姐姐,4
187,群体,4
188,广告,4
195,忘记,4
235,演戏,4
266,悲欢离合,4
268,人类,4
293,片头,4
294,珍贵,4
298,性别,4
302,物质,4
305,总在,4
307,flick,4
339,种种,4
355,14,4
363,无病呻吟,4
378,灵魂,4
379,抓,4
436,蠢,4
459,补,4
473,五分钟,4
512,娱乐,4
530,男配,4
542,本土,4
550,鲜活,4
566,碗,4
570,拿出,4
595,艰难,4
621,理由,4
632,超越,4
787,输出,4
823,分手,4
869,罗,4
879,深深,4
990,形式,4
1018,黎明,4
1019,嘴里,4
1031,异性,4
1059,融合,4
1084,刷,4
1141,拍下去,4
1142,成年人,4
1147,亮点,4
1222,脑海,4
1260,女孩子,4
1308,态度,4
1329,写法,4
1363,三次,4
1367,伴娘,4
1368,书妍,4
1413,首映,4
1425,疯狂,4
1451,颇,4
1519,许光汉,4
1528,主动,4
1566,孤独,4
1574,气死,4
1577,出口,4
1578,亲切,4
1591,生命,4
1624,两颗,4
1657,西,4
1681,资源,4
1694,诸多,4
1715,大陆,4
1725,一刹那,4
1747,半夜,4
1787,可贵,4
1797,脑子,4
1814,反正,4
1839,两难,4
1877,侮辱,4
1883,张力,4
1904,自尊,4
1953,深度,4
1960,当做,4
1973,寻找,4
1983,太好了,4
1998,老师,4
2011,一份,4
2054,看不懂,4
2056,准确,4
2063,前男友,4
2138,值得一看,4
2177,美剧,4
2198,对白,4
2416,演了,4
2421,填充,4
2426,踩,4
2436,属实,4
2444,火花,4
2452,被迫,4
2487,T,4
2496,体现,4
2512,微妙,4
2516,光,4
2530,抠,4
2547,重庆,4
2601,一间,4
2647,以往,4
2671,体量,4
2683,勉强,4
2738,同一个,4
2804,克制,4
2821,慰藉,4
2915,有钱,4
2933,多线,4
2938,模仿,4
2946,饭桌,4
2948,网大,4
3009,落幕,4
3030,动容,4
3066,告白,4
3070,误解,4
3100,情书,4
3109,倔强,4
3166,初雪,4
3188,伤,4
3213,最能,4
3254,一出,4
3311,出品,4
3388,基佬,4
3392,彩排,4
3393,原班人马,4
3394,催泪,4
3400,说真的,4
3415,本哥,4
3427,型,4
3430,阶段,4
3493,新生代,4
3500,三人,4
3505,形象,4
3542,平庸,4
3567,知名,4
3572,介绍,4
3588,接纳,4
3602,做题,4
3753,拍个,4
3758,2023,4
3822,衍生,4
3909,悬疑,4
3989,局限,4
4047,产品,4
4097,颜,4
4131,门口,4
4146,割裂,4
4167,影子,4
4192,场面,4
4214,密集,4
4236,亮眼,4
4247,女配,4
4248,逃离,4
4251,照顾,4
4258,太爱,4
4264,敢,4
4299,随意,4
4313,與,4
4335,换,4
4379,文和友,4
4385,仅仅,4
4388,吊打,4
4436,夹杂,4
4437,明年,4
4455,分子,4
4469,温如言,4
4473,支线,4
4474,於,4
4572,方向,4
4573,路线,4
4578,条件,4
4582,刚刚,4
4641,紧张,4
4655,聽,4
4662,王栎鑫,4
4676,长安,4
4678,花钱,4
4711,错误,4
4715,网络,4
4720,回归,4
4723,膈,4
4728,家乡,4
4737,bug,4
4742,当作,4
4749,持续,4
4753,兼顾,4
4799,该片,4
4802,爱意,4
4809,赚,4
4812,拒绝,4
4821,原因,4
4834,张婧怡,4
4886,压力,4
4908,最难,4
4933,记忆,4
4934,蹭,4
4946,嚯,4
5005,小生,4
5042,刘同,4
5181,走心,4
5202,劇集,4
5207,很帅,4
5237,郭敬明,4
5253,心情,4
5279,明星,4
5283,极,4
5306,原本,4
5311,不知所云,4
5319,雍和宫,4
5464,品质,4
5492,八月,4
5679,戏里,4
5709,应,4
5721,诚意,4
5722,反复,4
5734,影,4
5822,很棒,4
5832,日,4
5852,八卦,4
5922,试探,4
5942,翅膀,4
5943,直,4
5950,两地,4
5955,意义,4
5976,夸,4
6039,参加,4
6052,主旋律,4
6111,HE,4
6113,精致,4
6117,送给,4
6119,五一广场,4
6141,不住,4
6164,刘丹,4
6254,学,4
6301,几次,4
6310,爱人,4
6314,多加,4
6350,铺垫,4
6354,很久没,4
6362,称得上,4
6460,牵手,4
