用户名,评论时间,评论内容,评分,赞同数
momo,2023-01-22 11:41:08,易烊千玺太帅了，杀人不眨眼，雷佳音也演得好好，整部电影都很好，希望国师继续稳定发挥，拍好电影,50,4664
1806,2023-01-23 17:02:28,岳飞本来就和国师一样，拥有着最踌躇满志的初心，故事背景一旦放在了800个心眼子才能存活的小社会，那些词作中闪烁出的人性光辉，才是人类文明最珍贵的宝藏。请大家一定要相信，电影可以造梦,40,741
有心打扰,2023-01-24 01:49:20,两个半小时的尔虞我诈，又臭又长，难以忍受。选角失败，让人出戏。我提着大红灯笼走进南宋府邸找笑点，看见的全是张艺谋过去众多作品的元素采样拼贴，一个都不能少，却一点也不出彩。,20,322
crystalliberty,2023-01-28 16:26:28,这bgm怎么回事，本来要睡着了结果被音乐吵醒了,30,326
胡椒粉,2023-02-03 23:52:46,full river red是我英语水平的译名,30,167
Context,2023-01-22 14:03:22,老是反转，“其实。。”“事实上。。”“这个局。。”，老有人跑出来说我在第x+1层，就没意思了。还有最后念满江红，真的太，一言难尽。秦桧你最后怎么像坏掉了一样？遍布其中的一些小笑点蛮不错的。不然就真的啥没有了。,30,585
寺司_,2023-01-26 21:35:40,还挺有意思的，在大众娱乐性和自己的格调之间找到了一个平衡，我还挺乐见市场多一些这样的电影的，既能爆票房，也不输格韵,40,141
Popi,2023-01-22 11:43:54,难得演员没有拉胯的，剧本四五年打磨出来的就是不一样，悬疑和搞笑结合得不错,50,4110
空语因明,2023-04-28 15:55:34,把爱国当生意做，是对爱国主义最大的侮辱，同时也很好诠释了【大奸若忠】。无论从情节和演技，还是从主题和票房来看，都是对全国观众的一次极大的讽刺。正是那些被当成幼稚园学生的观众，捧起来了最虚伪的“爱国题材”……明明天朝有实打实的历史，却非要向美国人学“情节虚构”，还要虚构什么“中国情怀”，呵呵,20,38
晴寂,2023-01-24 21:47:20,雷佳音和沈腾的演技是出乎意料的好，yyqx还是太过稚嫩了，挤眉弄眼而缺乏了驾驭一个少年老成将军的沉稳。剧本很不错，反转自然、节奏紧凑。emo的对称式摄影运用特别让这种方方正正的结构非常漂亮。总体来说不会二刷但不虚此行,40,211
沈怀周,2023-01-27 22:37:46,人物动机不够充分，人设用力过猛，整个戏为戏剧性故意戏剧性。还是喜欢《活着》，太使劲儿不好看啊，人都狰狞了。,10,711
放得,2023-01-25 17:02:19,张译演技真好,40,212
九路巴士夜间线,2023-02-07 17:17:29,除了易烊千玺之外的其他演员都还不错…然后摄影加一星吧…到底为什么有这样的精神胜利法啊，放着仇敌在面前不杀，背完诗要留他被万世唾骂？？,30,96
Mr陈,2023-01-28 08:44:19,及格线上下吧，喜剧悬疑两张皮，喜剧是小品水平，悬疑是网文水平,30,202
听说你还在,2023-01-24 18:30:38,很犹豫打三星还是四星，作为老谋子的片子，这个电影绝对只有三星水平，但是近年来的春节档已经被烂片统治了，好不容易出一部不错的了🌝简单来说这是一部有笑点的剧本杀电影，反转不少，笑点不少，全员演技都不会让人出戏，在这个大环境下，已经很不错了🤔,40,261
是菲奥娜呀,2023-01-22 13:34:25,悬疑和搞笑搞笑无法并存。还是好好搞一个吧。买了最早场，有点失望,20,1098
关关男朋友,2023-01-22 17:32:20,你永远可以相信国师，无论是画面的颜色，故事的逻辑，心中的大爱，故事的反转，层层给你惊喜，不煽情，不矫情，还有着独特的浪漫主义色彩，小女孩声音一起，我就知道他的名字叫张艺谋,50,2088
Mickey,2023-01-23 07:33:15,易烊千玺这个角色的复杂性再做细点就好了,40,254
Mr陈,2023-01-28 08:44:19,及格线上下吧，喜剧悬疑两张皮，喜剧是小品水平，悬疑是网文水平,30,202
海棠朵朵,2023-01-24 14:16:12,不喜欢易烊千玺 但是被他深深折服,50,338
mumudancing,2023-01-22 22:11:28,《灯笼》的景，《三枪》的调，《金陵》的烈女《悬崖》的计，《英雄》的刺客结个局，齐活了～,40,68
张小北,2023-01-23 03:30:09,对张艺谋导演来说，我越来越期待他之后的创作，看看他还能给我们带来什么惊喜。（豆瓣的5星制让我很纠结，本片就卡在4.5星，4星5星都不够客观。现在我决定退半步改为4星，因为票房口碑都不错，不用雪中送炭也不必锦上添花。）,40,56
空语因明,2023-04-28 15:55:34,把爱国当生意做，是对爱国主义最大的侮辱，同时也很好诠释了【大奸若忠】。无论从情节和演技，还是从主题和票房来看，都是对全国观众的一次极大的讽刺。正是那些被当成幼稚园学生的观众，捧起来了最虚伪的“爱国题材”……明明天朝有实打实的历史，却非要向美国人学“情节虚构”，还要虚构什么“中国情怀”，呵呵,20,38
法外狂徒皮埃罗,2023-01-22 14:20:36,很少见的张艺谋让步了对视觉色彩的极致追求而注重叙事结构。层层交叠的屏风与七拐八拐的暗巷锁住这场迷局，将越来越多的局外人卷入其中，你能猜到局部而猜不到全局。不仅是无尽的反转，演员极致的表演同样加深了故事的层次。有笑有疑，有情有义。喜剧部分意外的好，配乐有惊喜。,40,412
是菲奥娜呀,2023-01-22 13:34:25,悬疑和搞笑搞笑无法并存。还是好好搞一个吧。买了最早场，有点失望,20,1098
慕容复,2023-01-28 08:46:32,在影院里感觉片子挺精彩的，算是最近几年最佳贺岁档之一了。不过回到豆瓣上看到友邻们的一星评价还挺意外的，比如不符合当时历史时期的服化道台词、反转多到疲惫、结尾强行拔高？当然这些问题或多或少都存在，但在我看来实在不至于严重到影响片子的观影体验，甚至达到1星的程度。我不禁诧异，人类的情感为何如此不相同？认可批评，但我不理解这些一星。,40,38
记不记得,2023-01-31 08:27:15,也许是因为刚去过抗战博物馆，像这样动人的诗词或者故事，其实你只要读烈士生前的事迹，哪怕是一个最普通的士兵他的事迹一样震撼，所以故事本身带给我并没有那么强的触动。我的评价是：不如流浪地球,30,152
東方魚肚白,2023-01-23 17:02:40,英雄和三枪拍案惊奇的结合吧,30,411
总有人称赵老师,2023-01-24 14:19:27,背课文真的尬住了…就…非得上价值吗…,20,1141
弓虽哟,2023-01-29 08:38:07,背诗有点尬住，全程的反转也就还好，突如其来的鬼畜背景音乐，让我坐如针毡。个人不太喜欢。,30,187
Carly,2023-01-29 22:56:33,让我想起年少陪奶奶看的市集大戏，热闹而无逻辑和内涵，甚至还有些低俗，也许是为了迎合男性社群，本可以六分，但因这点让人厌恶。,20,419
Sn,2023-01-24 22:32:22,卡司强大，戏剧效果很好，不过何大人的死比较降智，结局也没收好。,40,102
yilian,2023-01-30 14:01:59,不好看，哪哪都不对！,20,324
Yan,2023-02-01 08:33:43,确实就是个7分的电影，这个评分到也中肯。满江红确实不是烂片，甚至有些地方让人触动。但在这个春节档，他的质量确实不配拿年级第一。,30,137
沈怀周,2023-01-27 22:37:46,人物动机不够充分，人设用力过猛，整个戏为戏剧性故意戏剧性。还是喜欢《活着》，太使劲儿不好看啊，人都狰狞了。,10,711
小程同学,2023-04-30 15:09:18,前后使用了苦肉计，欲擒故纵计，师徒配合砸车计，稀里糊涂突然落锤计，张艺谋只用了一计，将计就计，送张艺谋一计，走为上计，是不是很大胆?,30,25
CatHEagle,2023-01-22 17:32:27,有时候假身比真身好用,40,561
