用户名,评论时间,评论内容,评分,赞同数
66号公路灰狗,2023-04-29 09:20:39,以案件庭审为主线，通过检察官提交的一个个证据还原了案件的全貌，整个过程好像我在参加庭审一样，代入感非常强，全程无尿点！而且案件一环扣一环，从qj案到s人案到盗墓案，案中案层层反转，每次我都以为猜中了故事走向，没想到导演预判了我的预判。,40,48
开过心的开心,2023-04-30 14:20:18,王丽坤这贱人的还能播？,-t,3
艾米莉,2023-05-06 12:22:05,请个合格的编剧这么难么,20,5
第七大陸,2023-04-29 10:59:52,弱四，故事本身的类型完成度还是很高的，不是所谓的纸片主旋律，起码麦氏是故事保障了，一整个案件套装还是对得起“风云”二字的，尺度其实不小，在半明半晦之间，黑白色搅浑，谁做冲破黑暗的人？,40,27
stream,2023-04-29 12:53:26,陈鑫被抓住的时候挑衅受害者，恨得我真的是太生气了,40,54
羽生结衣,2023-04-29 18:38:12,黄景瑜的演技还挺不错的，超出了我的预期。,40,18
丶墨瓜,2023-04-29 09:48:48,好久没见白姐了，演技越来越纯熟，看起来特别舒服，律师角色也很适合她，聪明睿智，与黄景瑜的对手戏依稀找回当年演小妞电影的俏皮感。,40,31
Word,2023-04-30 22:23:54,这是国内首部以检察官为视角演绎的犯罪影片，控辩双方围绕着一起大学教授故意杀人案展开，电影很有感觉,40,12
段郎RockDuan,2023-04-29 09:26:32,麦兆辉有一处细节还蛮不错的，回顾盗墓三人组过去的时候，虽然演员换了，但配音还是冯绍峰、包贝尔、苏可的声音，观众还是能带入到角色里，也让人物性格更加鲜明。,40,35
华盛顿樱桃树,2023-05-02 23:36:51,根据真实事件改编？那为啥看起来这么假？城市架空，故事根基就没了。故事果然是魔幻般的东飘西荡，连叙事都整不明白就真的是浪费时间。演员们全体灾难，包先生那过火的表演以及黄先生完全不像这个角色，白姐点点戏份有十场吗？,10,7
arrcmis,2023-04-29 09:58:37,官商勾结？杀人案？强奸案？本推理爱好者的心思疯狂骚动啊！尤其是有王千源这样的演技派坐镇，这表演绝对稳！没想到的是包贝尔和冯绍峰饰演的反派让人眼前一亮，各有特色，难得演的不错！看到最后才发现还有盗墓大案，这环环相扣的情节，真的绝了！,40,27
行动怎么那么难,2023-04-29 21:13:53,"通过庭审将整个故事分割成几部分，再每部分进行倒序，展现检察官和警方寻找证据的经过，还原真相，很新颖，逻辑在线。
检察官寻找真相，勇于和黑恶势力作斗争，不畏强权，让我印象深刻。坚守正义不是伟光正的口号，而是一种选择，这背后可能会失去生命。虽然影片没有着重刻画检察官的选择，但不做选择更能说明其坚定。
张有成检察官和罪犯的追躲看得很过瘾。
各位演员演技都很优秀，不掉线。
哈哈哈要感叹一下黄景瑜好帅，宽肩窄腰。和王千源老师饰演的检察官的每次出现都是享受，两位硬汉，身材很好[哈哈][哈哈][哈哈]制服控的福利。
个人觉得，搞笑部分可以提速，拉高欢快节奏；最后提张有成检察官搜寻的证据时，也可以再拔高一下。
有人觉得情感线多余，但我觉得刚刚好。
最后，是值得二刷再回味一下的电影",50,12
