用户名,评论时间,评论内容,评分,赞同数
是小叶子吖,2023-05-02 21:05:37,四分给陈飞宇，台词真的好棒！,40,14
🍞,2023-04-28 22:39:24,出轨男和男小三请合葬,10,18
桃子,2023-04-30 21:56:37,前半部分剧情老套，有些无聊，结尾还可以,30,6
一十一,2023-04-29 11:59:19,开场阿瑟的声音一出来就出乎我意料，低音炮振动的频率好有感觉，至少台词和电影的适配感在一开始就让我有可以代入的感觉了。没想到陈飞宇的台词居然能有让人惊喜的感觉，以前一直觉得这些新生代的演员都是光有一副皮囊，看完《倒数说爱你》才觉得阿瑟应该可以在一众年轻演员里面有名字了。,40,12
万乐,2023-04-29 17:41:33,全国人民都该给《小时代》道歉！！！！！,20,14
raingirl,2023-04-29 13:58:37,d为什么周也那么好看啊，颜值真的逆天了,30,2
Cenduruila,2023-05-06 19:58:59,好多人推荐就来看了，确实还可以，及格分以上的国产爱情片。陈飞宇有些微表情设计得挺好。,40,1
都是天涯减肥人,2023-05-02 22:52:09,网大水平，不要期待太高。,20,6
时光Serene,2023-04-28 19:01:33,沟通在亲密关系中是多么重要啊！如果不是雨轩撮合，奥利维亚可能不会那么真切感受到泰迪对自己有多么宠爱和重视。而如果没有一次次穿越，雨轩可能也不会认识到自己之前犯了多么严重的错误，伤害了多么真诚的女孩！这次危机是宝贵的提醒，是馈赠，是偿还，让每个人都思考要如何去爱身边的人，要如何“风雨同舟”，死生契阔。,40,45
羽生结衣,2023-04-29 14:29:09,随着时间倒流，我好像也随着时间回到故事的起点，我多么希望男主能够成功,40,3
江枫渔火·,2023-05-03 22:22:36,再见 再也不见,-t,0
张艺谋（无存版,2023-04-28 18:41:35,从首映礼到今天首场看，每一次都有不一样的感觉，开场陈飞宇的台词一出来我就起鸡皮疙瘩，四位主演演的都不错，撑起来了，剧情很流畅，慢慢展开推向高潮，值得一个不错的票房,50,59
Word,2023-04-29 01:03:17,我去看了一下这部电影，总结一下就是剧情不拖沓，情绪也是很到位的，有感染力,50,5
绿意烧甜酒,2023-04-28 20:25:05,"我丢我丢我真的说不出难看两个字。爱情片里可能时空循环的梗没那么有新意，但是剧情情节很丰富，一个小时多浓缩这么多内容，剧情很紧凑。镜头叙事效率也很高，（我知道我知道，这导演垃圾过往口碑一般，但我没看过他之前的电影，这次发挥挺不错吧）切换时机到位，没有拖泥带水，拍的也挺美。
演的也不错真的不错，四个主演都很不错，化学反应都蛮好的，还有那二位老人，结尾我觉得还挺感人的。
再说ost 配乐，很好很贴，情绪气氛烘托都很不错
tmd绝对不是什么粉丝滤镜，电影院看电影我评价就一点值不值我掏的钱。反正看完我觉得挺值的，一开始只是抱着看看周也的脸来的，但整体觉得还挺惊喜，毕竟上一次电影院看电影简直是噩梦 煎熬的要死，这次不管是剧情还是脸都看的很享受，我觉得值我付出的三十多票钱加上快四十多的来回打车费呵呵",40,10
A Head Full Of,2023-05-02 09:12:08,周也真倒霉,10,8
拉赫玛尼诺妇,2023-05-09 17:21:49,补标，怎么还高达6.2分啊？？我的天呐  这片拍得很恐怖，像鬼片，可能导演想表达“爱情就像鬼片”这一深刻的主题？？周也蛮适合演鬼片的（认真说），阿瑟嘛，就是随时一副要强奸女主的亚子。要我说，就这片儿，还用抄？到底哪里值得抄惹~贵国爱情电影还有救吗？没有。,10,0
活豪,2023-04-29 16:01:46,这个风格也是比较吸引我的了，而且站起来说双向奔赴。,40,4
豆友XVV0Q_7qbc,2023-05-02 21:24:32,不好看,10,6
华盛顿樱桃树,2023-05-04 23:44:35,太尴尬啦，开场小朋友这块儿就出戏～长大了虽然养眼，但也真的是令人想翻白眼式的巧合和毫无cp感。中途电影的大梗出来后就乱得糟糕。导演上部戏撞大运，这部戏问题全暴露。,10,2
琴厄索,2023-04-30 22:44:48,周也的美丽和可爱值得三星，剧情真的很台，比较老套了，有点过于突出男主而弱化女主性格，总体算及格,30,7
来自比邻星的H,2023-04-29 15:18:41,今年五一怎么这么多爱情烂片,10,21
AL Rorschach,2023-04-29 13:14:20,刷抖的时候有时刷到一些这部电影的花絮，陈飞宇和也子的颜值配对很吸引人呐,40,4
鱼罐头,2023-04-29 11:55:11,电影中还有一些搞笑的情节，催泪又令人发笑，真的很喜欢。总之是一部让人有泪有笑点电影，冲冲冲,40,4
Daisy,2023-04-29 14:15:21,“我要关多久才能无罪释放”真的太适合这部电影了，一语中的。,40,5
啟灮。,2023-04-30 00:02:08,周也的第一部女主电影就这水平，除了失望还是失望,10,14
小楼一夜听春雨,2023-04-28 21:39:12,人不就是这个样子的吗，往往要等到失去之后才开始醒悟过来，要珍惜身边的一切,40,7
胡桃树,2023-04-29 13:21:44,两个人的演技是真的很绝，伤心的时候眼眶都红了,40,4
潇洒竹影,2023-04-28 19:09:39,命运般的爱情，和超脱命运的爱情，希望大家看完电影都可以勇敢追爱～,50,39
废土行者,2023-05-07 17:19:47,还行吧，画面很美，陈飞宇周也的脸很美，故事一般,30,0
woshihta,2023-04-29 08:51:05,珍惜当下，爱要表白，对的人总会遇见。这是电影的立意所在，不得不说林导是真的有点东西在的,40,3
突然粉碎,2023-04-29 21:58:04,编剧有什么错，他只是很委婉地告诉我们：不谈恋爱就不会死，还有，过了2022一切都会好的。拿什么拯救北电姐弟组的演技，尽管一直被嘲五官乱飞，这部戏也子都能当阿瑟表演课老师了,20,4
Joe Joel,2023-05-01 21:40:04,"这制作着实有些粗糙了。是第一次看到电影里，普通对话构图能切头切的把脸都切没，还不止一次。
周也是很好看，但俩人都太木了，陈飞宇尤其木。有《想见你》在前打板，穿越悬疑爱情类型还能拍的这么难看，属实是抄都不会抄了。",20,6
mayu2862,2023-04-29 01:18:15,如果说不是雨轩撮合，奥利维亚可能不会 感受到泰迪对于自己真挚而又深沉的爱。,50,3
哆啦,2023-04-29 09:09:19,希望每个人都可以向喜欢的人表达爱意，不辜负每一份心动。,40,3
升空大白狗,2023-05-07 18:35:33,前半段很甜后半段有点好哭，阿瑟的眼神是能勾人的！,40,1
璐尔北,2023-04-29 19:11:02,意外的挺不错的，非常完整的奇幻爱情故事，虽然我这个年纪应该不是这种故事的受众，但还是会喜欢电影的美术布景。时光倒转拯救爱人的设定，也会让爱情故事不会因为什么金钱、压力落入俗套。看完故事，感叹2023是个神奇的年份，就不剧透更多了。,40,4
兰兰的生活,2023-05-02 10:22:47,难看,10,8
AChieve,2023-04-28 18:28:20,竟然比预期好，称得上视听享受了，毕竟电影太会进bgm，活活把我整哭了😢。演技台词都不拉垮，让我很沉浸。大家好好珍惜当下，珍惜家人恋人朋友，千万别等到无法挽回的时候才后悔。,50,60
白猫盛世,2023-05-01 10:56:42,不行,20,1
NGMINGKWAN,2023-04-28 23:15:11,周也特别好看，在电影中每一套妆造都很戳我的心。电影中男女主为对方付出构成了电影的主要篇章，这种形式的电影还是具有新颖的，美中不足的是个人不太喜欢男主角什么都选择自己一个人承担。,40,7
冬冬求包养,2023-04-28 22:54:36,西装阿瑟那么帅，当然是选择原谅他啊！,20,6
