用户名,评论时间,评论内容,评分,赞同数
用户名,评论时间,评论内容,评分,赞同数
DADA,2023-04-28 21:36:48,3.5/演员演得不错，前后十年学生时代和成年阶段都挺带入的，笑点也挺多，剧情酸甜都有。/但是剪辑几处转折的很突兀，感觉是拍了但是剪了…… 动人感人处也少了点氛围烘托，总觉得差了点戳心窝的东西,40,122
希望是比格犬,2023-04-28 20:10:50,看的好痛苦 为什么来受这个罪 这他吗最后也能洗  我真要吐了 我说真的 我真的第一次直面被🦶7创,10,103
JoeyLu陆柏宇,2023-05-01 23:33:13,出乎意料的，没那么俗套,30,2
keiko,2023-04-29 00:33:42,"在振华系列的所有角色里，曾经我最不懂李燃和陈见夏。我一直怀疑着，那些内心深处不可言说的黑暗情绪，真的可以对他人袒露得如此彻底吗，真的有人可以治愈这一切吗。
直到今天，我看见陈见夏在雪地里哭着说她的自卑、好强、不堪的家庭，但李燃说这一切没有什么大不了，她可以在他面前永远自由地做自己；我看见李燃喝酒赔笑脸，而陈见夏坚定地握着他的手；我看见李燃送别陈见夏时隐忍的痛苦，而陈见夏拥有了破釜沉舟的勇气，再次回到李燃身边。
天啊，原来爱情的真身是这副模样。也是因为被治愈过了，所以才开始相信电影中的这一切虚幻，都可以是真实。",50,61
亵渎电影,2023-05-02 23:05:45,十年前这么拍就算了，十年后还这么拍，目测光线的这个女性爱情片大数据，还可以再拍十年。,20,14
核仁烤排骨,2023-04-29 18:58:03,国产爱情片分几种，这种属于恶心人的。行活，不烂，但是够无聊，内容够下沉，内核够封建，让你如坐针毡两小时。这片简直踩了本人所有的雷区：在重男轻女家庭长大一心逃离的小镇女孩为爱回归故土继续做扶弟魔，表面看起来男主深情但最后还是女主放弃一切，哦，男主欠了债，所以大概率他们婚后还会共担债务，真浪漫😊。重男轻女全是母亲偏心，隐身的父亲在死前还能狠狠洗白，更不要提学校里疯狂刁难女主只因暗恋男主的恶毒女配，很难想象2023年还会有这种low片。可别吹女导演了，影厅里看见女主打女配耳光大声叫好的也是女观众，feminism从来都只是women的充分不必要条件。再说一次，恶心死我了。,10,61
男巫小叶子,2023-05-01 20:46:15,"感觉很久没有在国产青春片里看到CP感强、又能互相接住戏的男女主了。虽然张新成、孙千一定程度上在重复以往的角色，但两人之间奇妙的共情力让这段中规中矩、没啥新鲜劲的破镜重圆变得又甜又虐，很有说服力。而且他们都是银幕脸，不少镜头都让我在内心感叹太养眼了。

很喜欢陈见夏的人设，她在重男轻女的原生家庭和充满规训的尖子生校园里，从自卑却带点傲气变得敢想敢做，真的好棒！刘丹老师饰演她的母亲，再现令人窒息的神级演技，为影片增色不少。",40,20
草莓小狗（丧夫,2023-04-28 20:41:06,为什么这么难看....矫情尴尬让人理解不了的爱情....真青春疼痛文学....难看到我在电影院吐槽....,10,108
大上海红牡丹,2023-04-28 23:00:56,男女主没有CP感真的难以下咽,20,121
突然粉碎,2023-04-28 23:04:48,这么多年还对光线的爱情片心存侥幸，真是该死，三言两语能说清的能不能别拍俩小时？本哥孙千吻得很逼真，但是cp感仍然为0⃣️,20,36
春天游泳,2023-04-28 20:22:10,难看 报看 坐如针毡 国产爱情剧水平还是如此 超级难看 说的是圣母女主和强行洗白的妈妈弟弟和解的故事 一个片段就能和解十几年的恨 扯呢这不是？一星都不想给什么傻13编剧 退钱🙌🏻,10,114
書衣偵探華斯比,2023-04-30 22:39:21,为本哥而来。女主母亲是“锅姨”演的，太特么令人窒息了！瑟瑟发抖，（噩）梦回《开端》😂😂😂“有多少爱可以重来，有多少人值得等待，当爱情已经桑田沧海，是否还有勇气去爱？”,40,19
如山海,2023-04-28 20:32:54,还挺好看的！张新成好会演！（不过这样的男人现实中应该不存在吧）,40,251
丽塔.,2023-04-28 22:49:23,剧情稀碎，光线就是国产青春片里的漫威。,10,129
夏末,2023-04-28 20:39:31,五星给最好最好最最好的李燃 能牵着李燃跑出ktv，能承认自己妒忌的有很多缺点的陈见夏也很值得  重逢的时候，虽然还是不完美的我们，但已经可以坦诚说出那句“你和未来，都可以要”也太好了,50,318
郑在玹转小火锅,2023-04-29 15:23:01,如坐针毡，如芒刺背,10,62
小肥肥想去流浪,2023-04-30 13:23:20,至此，八月长安的的振华系列全部都搬上了大荧幕，故事的青春里所有的美好都圆满了，小书里我更偏爱这一部，生活好像更现实一点，爱情还能圆满，隔着时空祝福见夏和李燃。,40,40
美式芽,2023-04-28 22:10:36,张新成他值得！他值得！恭喜老干部继林杨后，又找到了一个绝世好男人人设。出乎意料的是，除了提前放出的预告，正片还有很多惊艳的片段。作为一部爱情片，又甜又好磕，还要什么自行车呢。完成打卡✅。,50,239
奶茶三分糖🥤,2023-04-29 17:54:08,没感觉多刻骨铭心 没感觉冲突爆发点 所以 这么多年去哪了,20,40
Luminie,2023-04-30 22:04:18,剧情细碎，剪的也细碎，男女主莫名其妙的吵架，莫名其妙的和好，莫名其妙的暧昧。女主台词功力有待加强，存在气泡音和吐字不清。我仍然对小太阳出演李燃这件事耿耿于怀，演的挺用力但依然是你好旧时光里的学霸印象。很多场景有种P图的感觉，两人在南京旅游摊牌那段挺让人难受的。原著楚天阔好歹也是个男配，这里只出来了一个镜头，选角也不如剧版你好旧时光里的楚天阔。对于没有让小潘主任出演给予强烈抗议，没有小潘怎么能算是完整的振华！营销的真的过头，期待了蛮久观影后却满是失望。,20,24
四月三周两天,2023-04-28 22:53:52,救命啊，不要再来圈钱了好嘛？剧本很烂很烂很烂,10,126
徐同学罢啦,2023-04-30 01:08:34,演员特别好看 镜头特别美 化学反应也很吸引人 但是剧情可以说是和原著没有半毛钱关系 好多本来应该交代清楚的东西都没有讲清楚 于丝丝和李燃之前有什么过节 见夏为什么莫名其妙出了国 李燃怎么爱上的见夏 怎么他们俩在车行重逢后就一笑泯恩仇了 还有凭什么最后就给郑玉清洗白了？？但凡看过一点原著都知道见夏的母亲真的是一个特别讨人厌的角色 还有好多特别经典的情节都没拍出来真的特别遗憾 最后两个人和好见夏在上海机场哽咽地对李燃说我爱你也没有拍出来 总之这个剧情就是一坨狗屎看的真的很生气 幸好看过原著对一些地方还能有基本理解 没看过的话整个电影就是一个云里雾里,10,34
