用户名,评论时间,评论内容,评分,赞同数
如筠,2023-04-15 20:33:37,上映了，点映看完的人终于可以来骂了。如果是电视剧里的一集，可以，但作为独立电影，不行。刘净换对象是通过姜山木人设全崩完成的。张挺的人设越来越单调平板符号化。夏梦那一对是唯一及格的。当看到刘净说以后再给姥爷做红烧肉，我就在心里说，如果姥爷没吃上这顿肉就去世，这部片就真是俗到家烂到家了，结果真是。,20,75
基瑞尔,2023-04-08 20:39:23,从开场疑似“致敬”《小时代》的桥段设计基本可以猜出电影版的套路和存在意义，制造矛盾让大家生气但又握手言欢，而在第二季回归之前也保持一种预热试图吊起观众胃口（当然也不会解决任何关键的剧情推进）；但永远忘不了2021年年底最糟糕、最寒冷的日子，三个女孩儿的故事用种纯粹快乐、激励人心的能量走进视野，而这座明明就很糟糕的城市也被写了次肉麻的情书鼓励再换个方法去关注和接受它。她们值得所有的掌声，就像这个时代不要再去批判而要去学会夸奖旁人一样。,40,8
荆棘鸟,2023-04-16 10:43:09,"第一次在电影院看得想走人，剧情很一般，舞台吵架制造刻意，烂俗笑点过多。
刘净已经三十岁了，能想到报复男友的唯一方式竟然是你开房我也开房。不觉得罗kk被夏梦误解有任何无辜，相反被他进行解释的样子恶心到了。导演想表达的太多，张含韵那条线仓促又敷衍。
最后的舞蹈乱炖真的太糟糕了，有种生活还没弄明白，稀里糊涂粉饰太平既视感。",20,49
Child1sh_Benny,2023-04-15 09:42:02,真得看不得方欣哭！～T﹏T轻喜剧风，没买票的剧粉可冲，没看过剧的朋友们也可以看，0压力。最后还有三个女主分别的彩蛋，大家不要忘了看，而且看样子是有第二季哦！,30,14
奥兰少,2023-04-16 21:00:49,非剧粉，实测路人无须补剧直接可食。只是尝起来像便利店速食品。诸如跑不了的版权、吃不到的红烧肉，故事若是观众不用脑子就知其味的，自然也入不了心。三线看似头绪繁多其实都是公式叠加。写不出都市爱情的复杂微妙，就把矛盾引到号称事业不过职场的卷生卷死上。满脑子情情爱爱要不得，可惜三线里说得上好看的，正是发力在职场戏而全崩，却在爱情戏收回一点真情实意的夏梦故事。观影中忽然记起曾经风行的杜拉拉升职记：但那是什么年月的老黄历了。,30,9
Abc,2023-04-13 20:47:47,什么都想讲，又什么都没讲好。有点隔靴搔痒的感觉。,20,20
糖酒粥,2023-04-15 22:11:56,张含韵王菊李纯真的都好美好有个性，好希望宋超可以回来！他真的很可爱！,50,31
一條魚佔滿了河,2023-04-13 22:49:25,我很喜歡劇集，但是不等於我會喜歡在電影院里看劇集，整部電影在電影感上的缺失讓我耿耿於懷，而故事也講得不夠完整，更像是為了鋪墊劇集第二部的插曲而已。無論是“愛”還是“美味”展現得都不夠，對於女性議題的討論也時不時自相矛盾一下，講得都不如劇集自如自然。,30,9
苏西淳子,2023-04-17 22:13:43,想看导演拍个10季！,50,55
luer..一串字母,2023-04-08 17:24:53,作为一部命题作文，作为剧的延续，感觉四颗星已经是满分了。最近真是看什么爱情片都泪汪汪，要命了😂。总的来说，完成得不错，虽然没有呈现出大的剧情紧张与巧妙化解。方欣跟张挺的冲突是最现实也最大的，不知道后面会如何展开，夏梦一对还是比较和谐，刘净的部分没怎么展开。爱情啊，引起的烦恼和痛苦已经太多，美好的时候又总觉隐忧。。。感觉结尾挺不错的。,40,21
