用户名,评论时间,评论内容,评分,赞同数
Lucifer,2023-05-03 15:52:09,成都路演结束，还是可以去看看的,30,18
Fu7ureX,2023-05-11 00:33:52,空战挺帅的,30,1
王先生的小迷妹,2023-04-30 08:43:25,"最后真的泪奔
那么淡定的说，我已无法返航，你们继续前行，怕是每一次起飞，都做好了牺牲的准备
愿国富民强，外敌不敢来犯🙏",50,919
蜡笔小新星,2023-04-28 14:30:15,虽然已有预期，但还是大大超出预期，太燃太炸，尾旋失速、坠机、重启、空中停车，心跳保持120真的刺激，还有感人的部分泪目啊，今年以来最动人心的一部电影！,50,4118
多多,2023-04-28 14:59:00,中国自己真正的商业大片。和平年代不能忘记那些默默无闻的无名英雄。向最可爱的中国人民子弟兵敬礼,50,2569
来去匆匆,2023-04-28 12:11:06,空军题材，歼20亮相，聚焦试飞员，是我这种军事爱好者的菜,50,2817
Litchi,2023-05-04 14:19:40,还是挺不错的,40,38
豆友FOhQX4H_0Y,2023-04-28 14:29:49,燃爆了！！！🆒,50,1679
五月雨,2023-05-11 10:35:46,主旋律电影，没觉得太差。就是主角有些太英雄了。,30,0
智者见智,2023-05-10 18:09:53,这个电影还是很有意义的，我们可以多一点对整个背后的观察和思考，我们现在所有的认知往往只看到前面的部分，而忽略了背后的故事和推手，对每个行业来说可能多少都会有，试飞员的职业其实要比那个真正的飞行员还要伟大，而且和平的时代他们的危险性也是更高的，希望大家可以通过这个电影可以懂得更多，这个社会中我们不太重视的那些群体的重要和伟大，片子的整体质量也是非常不错的！,40,6
J.Lee,2023-05-10 19:18:32,功成不必在我，功成必定有我，贯穿电影的主旨，有消费爱国情怀之嫌，以国内空战类电影的数量来说，电影比上不足比下有余吧，为了服务剧情和情绪 很多细枝末节经不起推敲，总体还行吧,30,0
实在想不出名字,2023-05-11 09:39:54,看电影的时候，看到很多父母带着小孩子过来看，一个个比我还沉浸，跟着做飞行的手势,40,0
薄荷红茶,2023-05-10 16:56:10,中规中矩的片子，甚至都能猜到主要的情节走向，包括男主的成长线，慧眼识男主的队长伯乐牺牲作为男主成长坚持下去的主要转折点，试飞从失败到成功的一次次尝试等等，没有什么明显的短板和惊喜，男主的演技也是如此，不出戏但也谈不上出彩。飞机高空中的飞行画面拍的很燃加一分。另外，实在没明白周冬雨这个角色存在的意义，与男主可有可无没头没尾的感情线真的可以砍掉。,40,2
yangfei,2023-05-07 16:32:44,整个剧情也有一些小幽默，不过中间大段的硬煽情有点无趣了，就是观众都能猜到…就不太合适了…,30,14
🇨🇳中国人,2023-05-10 22:40:41,"好电影，震撼，摄影不错
由衷的感谢！",50,9
三水冰洋,2023-05-10 18:06:09,对空战题材很感兴趣，赶巧单位组织观影，虽然剧情不出彩，但传达的意义大于剧情，彩蛋惊叹我们试飞员的心理素质，那几秒钟是如此从容,30,0
回锅肉,2023-04-30 08:57:03,好感人好燃,50,570
nicky,2023-05-01 07:32:20,想看我兔秀肌肉,50,513
食人族,2023-05-03 19:09:25,大期待,50,53
uppp我要榻榻米,2023-05-11 01:25:52,王一博一星，胡军一星，认识试飞员职业一星，其他的剧本实在需要再润色,30,2
如若_惜,2023-05-10 22:39:32,又红又专 时不时耍酷热血 只是情节前面冗长 有点硬伤。最后彩蛋的录音让人潸然泪下 多少人的牺牲才换取了越来越强的空军实力啊。特效很赞 看了4D版加持。,50,1
Sueaka,2023-05-04 14:20:34,给题材4颗星！军事强国强。,30,51
