用户名,评论时间,评论内容,评分,赞同数
KellyWu凯利吴,2023-04-09 14:05:06,好于《功夫瑜伽》《急先锋》，番禺万达影院映后见面会，成龙大哥精神状态颇好，刘浩存真人比电影画面还好看，本片相当于成龙一个人的《龙虎武师》，难怪《龙虎武师》没有正式出场接受访问，有笑有泪有打戏，情节略单薄，整个剧本感觉就是为成龙而写的，可以说是成龙最具粉丝向的作品，当然感动的地方莫过于通过meta影片花絮去怀念以前那个无所不能的成龙。本片也是通过老罗这个角色，直接讨论了龙虎武师的生存空间问题，在大量电影特效的冲击后，实拍的动作电影究竟未来还有价值吗？但无论是今年的杀神4，甄子丹仍然站在动作电影的巅峰上睥睨天下，还是年过六十的阿汤哥，还在挑战动作电影的极限。我觉得观众还是喜欢看实拍，电影特效充其量还只是一种加分项。,30,7
小万哥哥,2023-04-07 17:36:53,即使你是成龙大哥，即使知道你老了，即使你三五年没出山了，但也不要一出山，就一直拿着自己以前的光辉电影，进行无限的致敬好不啦，很尴尬耶。另外，人马情未了，着实把我给尬麻了,20,64
焱,2023-04-07 15:46:36,虽然这电影不太行，但刘浩存真人站我跟前的时候，我也不行了。,20,38
铭潮,2023-04-09 18:44:47,刘浩存演的什么啊，好神经病。,30,4
十一伏特,2023-04-07 23:01:30,"三年前那部纪录片《龙虎武师》里少了成龙，当时据说成龙正筹拍相同题材，估计指的就是这部电影，没想到是用剧情片的方式。基本上是致敬成龙自己，直接放上八九十年代经典作品的花絮剪辑画面，嫁接到一个虚构的落魄武师身上，身份落差产生角色定位的不自然。主角到底是曾经辉煌如今落魄的过气打星，还是一直隐身幕后的武打替身，自相矛盾的含糊同样在其他配角身上存在，情绪转折很生硬地推进。
隔一段打戏就来一出煽情戏，年仅70岁的成龙还在演打戏确实让人心疼，可也不能反复靠贩卖情怀来强行催泪。除了成龙外，其他演员的演技状态都很勉强，找来不少喜剧演员客串，看着出戏。既然是致敬武行，为何不多些当年真正的动作演员来客串呢。",30,12
橙子换马甲,2023-04-08 00:04:25,马驯得真的好，估计拍起来挺花工夫的。。成龙的动作戏比我想象的多，而且还是很有他的特色的，虽然明显吃力，身手不比当年。。最后拒绝用CGI那场戏是最明显CGI的一场，不知道是不是特意设计。。至于剧本，这年头就不要强求了。。父女线不行可能很大因素是女主太差了，就一直一脸“清纯可爱灵动少女”，看着烦人。。郭麒麟还行吧，不特别自然，但这个角色也就这样了整不出什么花来，而且对手少女那样。。小沈阳真的是客串，谁想出来让他演一个精英律师的哈哈哈哈～不过一出场就有人点名笑，大概也算不辱使命。。（一种靠脸吃饭,-t,14
深邃,2023-04-07 22:44:15,造句：1. 一想到能给这片打星了，我就龙马精神起来。2. 龙马精神早上好，我是李志。,10,119
小植野,2023-04-07 19:06:19,前半段像是短视频各种抖机灵小点子的缺点放大，各种剧情上的缝合看得尴尬抠脚，一个给成龙量身定制的剧本，像是平行宇宙的另一个他，结果在这个宇宙里还要满足一下自己做父亲的心理，代入了女婿一下对未来感到焦虑了。而剧情上就是想一段是一段的片段合集，主线官司打得莫名其妙，父女感情线写得一团浆糊，要打官司了才想起女儿，这不就是活脱脱的有事钟无艳，无事夏迎春。后面还要拿录像硬煽情往主题靠龙虎武师，想做得像情怀致敬，可事实就是消费形象。到后面勉强有半小时能看，本来想打到两星了，结果最后一段又梦回《人生大事》最没必要的最后半小时，就像在这来回拉扯硬拖时长。,10,104
谷风一幕,2023-04-07 13:28:49,剧本太差了，成龙致敬自己可以，打不动就在剧情上下下功夫，不能啥都没有。,10,163
豆瓣路人己,2023-04-07 18:27:17,最感人的不过是电影里成龙过往影片的内容，很多东西没有重点。,20,43
许逊,2023-04-07 14:36:34,把人的情感和行为强加在动物身上挺恶心的,10,146
嘟嘟熊之父,2023-04-10 13:04:50,每组镜头、每段配乐都在讨要一部分观众的善心，同时意味着狠踩另一部分观众的伤口。表面上映照现实，事实上丝毫不关心现实。缺少道德的电影。,10,51
HatcherZ,2023-04-07 17:31:13,#广州路演 导演采用了最低劣的方式来卖情怀，多次放成龙之前电影来“致敬”。即使如此，也完全拯救不了这部尴尬到极致，一团浆糊的电影。这部片很好地贯彻了屎尿屁，从开场成龙手擦马腚，马对成龙的脸放p，拿尿壶打斗，三要素占全了。其次就是又想讲父女情，又想讲特技演员，又想讲与马的情谊，又想讲打官司，又想讲自我和解，又想致敬，太多太乱太浅，尤其是父女戏，刘浩存那夹子音和毫无代入感的表演是彻彻底底的失败。,20,41
阿暖,2023-04-07 15:47:15,一部讲动作演员实拍真摔的电影，却用了大量的拙劣CG，不知道是种怎样的讽刺。人是不用摔了，马每次摔看着挺疼的。,20,35
任可,2023-04-11 10:32:41,如果不是对龙虎武师的崇敬，我会打一星的。非常自嗨和拧巴的一部电影，港星始终是不会拍内地故事的，那种拧巴很接近长江7号的拧巴,20,17
dustill,2023-04-07 21:39:31,成龙在电影里以一个这样的身份承认自己甚至是武行的年迈与式微，其实挺不容易的，奈何所有的细节都设计得太潦草了,10,86
阿孝咕,2023-04-08 00:10:15,一部为成龙量身定做的横漂动作片，作为一个红极一时的龙虎武师，一上场就掉链子？过了一会你的马来劲了，就把别的龙虎武师赶走？啰啰嗦嗦半天说要真跳，结果最后怂了就拍拍屁股走人？这部片子不仅是对观众智商的侮辱，也是对所有敬业的龙虎武师的侮辱！存子每次出场都换一套新衣服，真的水灵漂亮，可惜演技还没一匹马好，要是不开口说话就好了。一朝为坐骑，生死不由己，赤兔应该很后悔站起来吧~这杨子什么来头啊？能请到宫崎骏来客串~,10,77
乌鸦火堂,2023-04-07 21:54:19,"成龙的“内心自传”，是对昔日龙虎武师辉煌时代的缅怀，但更多的还是对现状的接受。

用“一人一马”投射内心，时代不同了，可以服老，也有家庭羁绊，但不能退缩，自己永远属于这个舞台，是他对这门曾经撑起港片半边天、如今惨淡经营的行业，一种现实又理想的想象。

ps，片中他与安志杰还是为我们奉献了几场熟悉的“成龙式”打斗，这是熟悉的成龙电影，也是不一样的成龙电影。",40,28
霍比特,2023-04-07 13:06:15,来上海路演的时候看的 本来想给一星 路演加一星吧 整部电影看的坐立难安 除了最后和马分别的那段 其他都是拍的啥啊,20,39
海月梦香,2023-04-07 15:06:32,剧本太差，煽情太多，戏中戏太少，对“龙虎武师精神”的描写太薄弱，沾了题材的光却又有点儿浪费题材。电影基本靠成龙撑起来，甚至在正片里混剪了很多早期成龙拍摄时的片段，看到这些场景时确实会被打动，但是主角的身份定位和成龙本身又有很大的差别，所以每当想要把那份感动和电影情节结合起来时却总会有种错位感，属于卖情怀都卖不好的类型。,20,27
东门捷径小V,2023-04-07 22:55:09,既是成龙对自己演员生涯的回顾，也是对电影老武行的致敬。从“龙虎武师都是热血男儿”、“你一定会有出息”，到“让赤兔做那么危险的动作是我不对”，“跳下来容易走下来难”，人物弧光真正得到了升华。不少细节对白也做得自然可爱，成龙和郭麒麟的老少反差搭配有化学反应，第一次感受到硬汉在电影里柔软和松弛了起来。,40,13
藤井树树,2023-04-08 00:40:47,刘浩存到底有没有搞清楚自己演的是多少岁啊？台词怎么可以这么低幼,20,23
Dionysus vino,2023-04-07 21:35:01,68岁的成龙就站在那里，深情的目光望过去，都是自己28岁的影子。,20,24
